"date";"fama_french"
2019-05-31;-0,00735796044496739
2019-06-03;-0,00531424320919915
2019-06-04;0,00428516330974626
2019-06-05;-0,00255279890253945
2019-06-06;0,00156145376990469
2019-06-07;-0,00120719514054679
2019-06-10;-0,00537340046336732
2019-06-11;0,00331328574475287
2019-06-12;-0,00000968506932919055
2019-06-13;-0,00248149523005314
2019-06-14;-0,00396791738031721
2019-06-17;-0,0100091607033104
2019-06-18;-0,00624210637893607
2019-06-19;-0,0055468865279521
2019-06-21;0,00472417153426163
2019-06-24;0,00704951532326969
2019-06-25;0,00130719488514242
2019-06-26;0,00560240647095056
2019-06-27;0,00390960420402209
2019-06-28;0,0032966685434801
2019-07-01;0,00917352321971854
2019-07-02;0,00465213572491407
2019-07-03;0,0100060323166336
2019-07-04;0,0132101833139302
2019-07-05;0,013717568282277
2019-07-08;0,0262330083686315
2019-07-10;0,0316206095102542
2019-07-11;0,02766088202135
2019-07-12;0,0225282738263421
2019-07-15;0,0269022889946782
2019-07-16;0,0246283119502013
2019-07-17;0,0262647626705064
2019-07-18;0,0262068385877612
2019-07-19;0,0289772886155351
2019-07-22;0,0327203660535598
2019-07-23;0,0306446252824211
2019-07-24;0,0239473596151065
2019-07-25;0,0151971199203289
2019-07-26;0,0123168046257525
2019-07-29;0,0121446258415152
2019-07-30;0,0133946892499326
2019-07-31;0,00975228132480699
2019-08-01;0,00872674200311518
2019-08-02;0,0127362421692547
2019-08-05;0,00538196278839576
2019-08-06;0,00841502532122007
2019-08-07;0,011164678324513
2019-08-08;0,0165791402482027
2019-08-09;0,00538879586217988
2019-08-12;0,000439875335087825
2019-08-13;0,006478749356021
2019-08-14;-0,00484045765831742
2019-08-15;-0,0194018422333215
2019-08-16;-0,0217330689142435
2019-08-19;-0,0261274551713296
2019-08-20;-0,0276409061521838
2019-08-21;-0,0159508038563131
2019-08-22;-0,0159921512451298
2019-08-23;-0,0259062991842602
2019-08-26;-0,0343891138182376
2019-08-27;-0,0324748760008803
2019-08-28;-0,0279336495229023
2019-08-29;-0,0176400669477516
2019-08-30;-0,00976713754954639
2019-09-02;-0,0114615268392539
2019-09-03;-0,0105212636647551
2019-09-04;-0,00723538292186343
2019-09-05;-0,00498556461080768
2019-09-06;-0,00254345449671722
2019-09-09;0,00260215219338744
2019-09-10;0,00408024560038589
2019-09-11;0,00156207916491713
2019-09-12;0,00384658993619236
2019-09-13;0,000776192481890536
2019-09-16;0,00412729205853712
2019-09-17;0,00629724772302054
2019-09-18;0,00353051142797933
2019-09-19;-0,000856397973253875
2019-09-20;-0,00354980488136258
2019-09-23;0,000749937218078145
2019-09-24;-0,00540238918391012
2019-09-25;-0,00429715189832724
2019-09-26;-0,0053163806763481
2019-09-27;-0,0104162705459649
2019-09-30;-0,0136431116210353
2019-10-01;-0,0150410894833588
2019-10-02;-0,0278471523463464
