"CNPJ";"CD_CVM";"DENOM_SOCIAL"
"61.079.117/0001-05";10456;"ALPARGATAS SA"
"61.079.117/0001-05";10456;"ALPARGATAS SA"
"47.848.684/0001-40";310;"ALPART ALPA PARTICIPACOES SA"
"11.721.921/0001-60";22217;"ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A."
"16.811.931/0001-00";25275;"ALPHAVILLE S.A."
"87.819.926/0001-91";329;"ALPINA BRASIL SA MAQ IMP AGRIC"
"49.705.528/0001-55";337;"ALPLAN SA IND COM CH MAD AGLOM"
"02.282.923/0001-09";17310;"ALTA - AMER.LAT.TELEC.AVANÇADAS S/A"
"02.783.423/0001-50";18066;"ALTERE SECURITIZADORA S.A."
"92.859.974/0001-43";23183;"ALTUS SISTEMA DE AUTOMAÇÃO S.A."
"10.886.893/0001-78";345;"ALUMINIO EXTRUSAO LAMINACAO"
"08.364.948/0001-38";21490;"ALUPAR INVESTIMENTO S/A"
"82.998.600/0001-55";353;"ALUSUD ALUMINIO DO SUL SA"
"42.233.757/0001-75";26433;"ALVAREZ & MARSAL INVESTIMENTOS I S.A."
"07.196.934/0001-90";1147;"ALVORADA CARTOES, CREDITO, FINANCIAMENTO E INVESTIMENTO S/A"
"96.735.105/0001-68";361;"AMADEO ROSSI SA MET MUNICOES"
"24.170.211/0001-30";24503;"AMALFI EMPREENDIMENTOS E PARTICIPAÇÕES S.A."
"02.036.227/0001-12";16918;"AMARANTE PARTICIPACOES SA"
"47.959.697/0001-96";370;"AMAZONAS PRODS P CALCADOS SA"
"02.340.278/0001-33";17280;"AMAZONIA CELULAR S/A"
"07.526.557/0001-00";23264;"AMBEV S.A."
"07.526.557/0001-00";23264;"AMBEV S.A."
"12.648.266/0001-24";24961;"AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S.A."
"12.648.266/0001-24";24961;"AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S.A."
"57.009.078/0001-94";12750;"AMELCO SA IND ELETRONICA"
"44.081.677/0001-77";388;"AMERICA DO SUL LEAS SA ARR MER"
"00.776.574/0001-56";20990;"AMERICANAS S.A."
"01.223.522/0001-15";15679;"AMERICAS EMPRS ARTISTICOS SA"
"01.685.903/0001-16";16195;"AMERICEL SA"
"36.461.242/0001-20";21172;"AMIL PARTICIPAÇÕES S/A"
"03.494.776/0001-01";26476;"AMMO VAREJO S.A."
"33.050.071/0001-58";3050;"AMPLA ENERGIA E SERVIÇOS S.A."
"07.809.905/0001-56";20214;"AMPLA INVESTIMENTOS E SERVIÇOS S/A"
"40.430.571/0001-80";19259;"ANCAR EMPREENDIMENTOS COMERCIAIS S/A"
"00.979.769/0001-01";15326;"ANCAR SHOPPING SA"
