"CNPJ";"CD_CVM";"DENOM_SOCIAL"
"60.943.388/0001-96";1813;"BORLEM SA EMPREEND INDUSTRIAIS"
"00.183.435/0001-19";14591;"BOSFORO PARTICIPACOES SA"
"43.458.421/0001-73";16160;"BOSTON EXPORTADORA IMPORT SA"
"61.087.581/0001-35";10987;"BOTUCATU TÊXTIL S. A."
"08.695.953/0001-23";21164;"BOVESPA HOLDING SA"
"15.483.430/0001-89";23108;"BPMB I PARTICIPAÇÕES S.A."
"10.739.356/0001-03";25860;"BR ADVISORY PARTNERS PARTICIPAÇÕES S.A."
"11.102.250/0001-59";23710;"BR HOME CENTERS S.A."
"06.977.745/0001-91";19909;"BR MALLS PARTICIPAÇOES S.A."
"06.977.751/0001-49";19925;"BR PROPERTIES S.A."
"06.977.751/0001-49";19925;"BR PROPERTIES S.A."
"14.206.371/0001-39";23205;"BR TOWERS SPE1 S.A."
"62.868.302/0001-33";1600;"BRADESCO BCN LEASING S/A ARR MERCANTIL"
"47.509.120/0001-82";12386;"BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL"
"47.509.120/0001-82";17027;"BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL"
"47.509.120/0001-82";19640;"BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL"
"43.833.821/0001-11";7986;"BRADESCO LEASING S.A. ARREND. MERCANTIL"
"43.833.821/0001-11";13757;"BRADESCO LEASING S.A. ARREND. MERCANTIL"
"60.885.068/0001-27";1848;"BRADESCO TURISMO SA ADM E SERV"
"03.847.461/0001-92";18724;"BRADESPAR S/A"
"61.782.769/0001-01";18180;"BRADESPLAN PARTICIPAÇOES SA"
"68.587.724/0001-17";14478;"BRAFCO SA"
"17.246.695/0001-99";1856;"BRAFER INDL SA PRODS SIDERURG"
"61.149.084/0001-14";7714;"BRAMPAC SA"
"01.187.338/0001-67";18147;"BRASCAN IMOBILIARIA SA"
"84.489.996/0001-30";20109;"BRASIL & MOVIMENTOS S/A"
"04.833.448/0001-47";1937;"BRASIL BELEM HOTEIS E TURISMO SA"
"66.890.369/0001-25";13927;"BRASIL BETON SA"
"00.311.787/0001-02";1880;"BRASIL CENTRAL HOTEIS E TUR SA"
"02.457.269/0001-27";17353;"BRASIL FERROVIAS S.A."
"33.206.475/0001-98";13110;"BRASIL OITICICA S/A"
"06.022.461/0001-41";1899;"BRASIL OLEOS INDUSTRIA COMERCIO SA BRASOLEO"
"12.610.764/0001-88";22233;"BRASIL PLURAL SECURITIZADORA S.A."
"13.483.537/0001-00";24287;"BRASIL SECURITIZADORA S.A."
"02.570.688/0001-70";17680;"BRASIL TELECOM PARTICIPAÇÕES SA"
"13.776.362/0001-10";22705;"BRASIL TRAVEL TURISMO E PARTICIPAÇÕES S/A"
"07.628.528/0001-59";20036;"BRASILAGRO CIA BRAS DE PROP AGRICOLAS"
"05.482.166/0001-05";19534;"BRASILIANA ENERGIA SA"
"08.773.191/0001-36";23930;"BRASILIANA PARTICIPAÇÕES S.A."
"20.706.727/0001-04";1902;"BRASILINVEST INFORM.TELEC.S/A"
"61.064.838/0001-33";1910;"BRASILIT SA"
"33.177.734/0001-08";1929;"BRASILJUTA SA FIACAO TEC JUTA"
"60.856.820/0001-01";1945;"BRASIMET COM E INDUSTRIA SA"
"42.150.391/0001-70";4820;"BRASKEM S.A."
"60.837.689/0001-35";1961;"BRASMETAL CIA BRAS METALURGIA"
"61.084.984/0001-20";1970;"BRASMOTOR SA"
"01.946.997/0001-30";19399;"BRAUSTAM HOTEIS REIT SA"
"03.144.779/0001-07";19674;"BRAVO SECURITIZADORA S/A"
"10.826.798/0001-89";21865;"BRAZAL - BRASIL ALIMENTOS S.A."
"07.119.838/0001-48";19720;"BRAZIL REALTY CIA SECURITIZADORA DE CREDITOS IMOLIARIOS"
"07.119.838/0001-48";19720;"BRAZIL REALTY CIA SECURITIZADORA DE CREDITOS IMOLIARIOS"
"02.762.113/0001-50";17922;"BRAZILIAN FINANCE & REAL ESTATE S.A."
"03.767.538/0001-14";18759;"BRAZILIAN SECURITIES CIA SECURITIZAÇÃO"
"00.000.208/0001-00";14206;"BRB BANCO DE BRASILIA SA"
"33.136.888/0001-43";6009;"BRB CRED FINANC E INVEST SA"
"08.653.753/0001-08";20672;"BRC SECURITIZADORA SA"
"01.838.723/0001-27";16292;"BRF S.A."
"61.068.557/0001-59";2003;"BRINQUEDOS BANDEIRANTES SA"
"61.322.731/0001-48";2011;"BRINQUEDOS MIMO SA"
"19.796.586/0001-70";26085;"BRISANET PARTICIPAÇÕES S.A."
"24.396.489/0001-20";24830;"BRK AMBIENTAL PARTICIPAÇÕES S.A."
"07.700.557/0001-84";20265;"BROOKFIELD INCORPORAÇÕES S.A."
"58.877.812/0001-08";19046;"BROOKFIELD SÃO PAULO EMPREENDIMENTOS IMOBILIÁRIOS S.A."
"07.088.416/0001-52";19895;"BRPR 45 SECURITZADORA CRED IMOB SA"
"04.800.265/0001-25";19372;"BRPR 51 SECURITZADORA CRED IMOB SA"
"07.033.882/0001-30";19976;"BRPR 52 SECURITZADORA CRED IMOB SA"
"04.370.082/0001-17";19380;"BRPR 53 SECURITZADORA CRED IMOB SA"
"07.710.591/0001-30";19941;"BRPR 55 SECURITZADORA CRED IMOB SA"
"06.137.677/0001-52";19984;"BRPR 56 SECURITZADORA CRED IMOB SA"
"36.542.025/0001-64";23817;"BRQ SOLUÇÕES EM INFORMÁTICA S.A."
"09.462.890/0001-28";21580;"BRT HOLDING 1 SA"
"52.082.872/0001-40";12971;"BRUMADINHO SA MIN E METAIS"
"03.468.802/0001-19";21415;"BRZ INVESTIMENTOS S/A"
"60.736.279/0001-06";6327;"BS CONTINENTAL SA ULTL DOMEST"
"61.356.762/0001-10";876;"BS INFORM E ADMINISTR SA"
"10.603.674/0001-34";23779;"BS&C EMPREENDIMENTOS E PARTICIPAÇÕES S.A."
"68.704.923/0001-68";18864;"BSE SA"
"11.257.352/0001-43";23132;"BSI CAPITAL SECURITIZADORA S.A."
"07.110.438/0001-71";19690;"BTG PACTUAL HOLDING PARTICIPAÇÕES S.A."
"59.281.253/0001-23";13897;"BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM"
"21.948.105/0001-47";23850;"BTGI QUARTZO PARTICIPAÇÕES S.A."
"21.976.510/0001-79";23841;"BTGI SAFIRA PARTICIPAÇÕES S.A."
"28.126.928/0001-36";2020;"BUAIZ SA INDUSTRIA E COMERCIO"
"86.047.198/0001-84";19801;"BUDDEMEYER S/A"
"82.981.812/0001-20";2038;"BUETTNER SA IND E COMÉRCIO"
"02.109.419/0001-01";16845;"BULHOES CARVALHO F NOTES SA"
"84.046.101/0001-93";2593;"BUNGE ALIMENTOS SA"
"61.074.092/0001-49";10278;"BUNGE BRASIL SA"
"61.082.822/0001-53";8370;"BUNGE FERTILIZANTES SA"
"84.684.471/0001-56";2046;"BUSCHLE & LEPPER SA"
"01.858.774/0001-10";20133;"BV LEASING - ARRENDAMENTO MERCANTIL S/A"
"04.794.781/0001-94";19488;"BVA EMPREENDIMENTOS SA"
"00.019.388/0001-72";15440;"BWU VIDEO SA"
"45.242.914/0001-05";24848;"C&A MODAS S.A."
"58.798.612/0001-51";16837;"C. P. E. PENINSULA DO TUCURUÇUTUBA"
"04.030.182/0001-02";19119;"CABINDA PARTICIPAÇÕES SA"
"05.336.882/0001-84";22683;"CACHOEIRA PAULISTA TRANSMISSORA DE ENERGIA SA"
"20.933.354/0001-04";4111;"CACHOEIRA VELONORTE"
"04.031.213/0001-31";19135;"CACONDE PARTICIPAÇÕES SA"
"31.865.728/0001-00";13552;"CAEMI MINERAÇÃO E METALURGIA S.A."
"84.584.481/0001-10";2054;"CAETANO BRANCO SA"
"25.869.736/0001-21";2062;"CAFE SOLUVEL BRASILIA SA"
"04.038.763/0001-82";19097;"CAIANDA PARTICIPAÇÕES SA"
"04.031.882/0001-03";19127;"CAICOS PARTICIPAÇÕES SA"
"00.979.969/0001-56";15717;"CAIXA ADM DIV PUB ESTADUAL SA"
"34.020.354/0001-10";15687;"CAIXA SEGURADORA SA"
"22.543.331/0001-00";23795;"CAIXA SEGURIDADE PARTICIPAÇÕES S.A."
"07.340.946/0001-46";2070;"CAJU INDUSTRIAL SA CISA"
"06.565.410/0001-66";2089;"CAJUNORTE DO BRASIL SA"
"98.408.073/0001-11";19003;"CALÇADOS AZALÉIA SA"
"90.261.199/0001-02";2097;"CALCADOS ORTOPE SA IND E COM"
"02.992.453/0001-77";18325;"CALIBRE PARTICIPAÇÕES S/A"
"67.203.208/0001-89";20486;"CAMARGO CORREA DESENVOLVIMENTO  IMOBILIARIO SA"
"61.088.894/0001-08";2100;"CAMBUCI SA"
"64.904.295/0001-03";24228;"CAMIL ALIMENTOS S/A"
"08.823.932/0001-46";4880;"CAMPINENSE INDUSTRIAS GERAIS SA"
"01.533.298/0001-68";2119;"CANADENSE SA INDUSTRIA E PNEUS AGRICOLA"
"41.811.375/0001-19";26212;"CANAL COMPANHIA DE SECURITIZAÃ+O"
"41.096.674/0001-19";26646;"CANTU STORE S.A."
"15.229.110/0001-05";23353;"CAPITALE SECURITIZADORA DE CREDITO S.A."
"02.591.787/0001-39";17493;"CAPITALPART PARTICIPAÇÕES SA"
"08.642.503/0001-72";21296;"CAPRI PARTICIPAÇÕES SA"
"15.224.488/0001-08";13722;"CARAIBA METAIS SA"
"79.119.939/0001-20";2127;"CARAMURU ALIMENTOS DE MILHO SA"
"00.080.671/0001-00";26190;"CARAMURU ALIMENTOS S.A."
"07.253.321/0001-47";14168;"CARBOMIL SA MINER. E INDUSTRIA"
"25.633.934/0001-91";2135;"CARFEPE SA - ADMINISTRADORA E PARTICIPADORA"
"61.156.501/0001-56";10863;"CARGILL FERTILIZANTES SA"
"07.573.058/0001-73";2143;"CARIRI INDUSTRIAL DE OLEOS SA"
"61.565.511/0001-45";2178;"CASA ANGLO BRASILEIRA S/A"
"31.468.139/0001-98";24643;"CASA DE PEDRA SECURITIZADORA DE CRÉDITO S.A."
"92.692.946/0001-84";2186;"CASA DICO SA COM E INDUSTRIA"
"33.024.860/0001-14";2194;"CASA JOSE SILVA CONFECCOES SA"
"92.795.673/0001-01";2208;"CASA MASSON SA COM E INDUSTRIA"
"33.256.918/0001-55";2216;"CASAS DA BANHA COMERCIO E INDUSTRIA SA"
"02.036.214/0001-43";16543;"CASCAIS PARTICIPACOES SA"
"07.092.232/0001-66";13226;"CASCAJU AGROINDUSTRIAL SA"
"07.138.860/0001-35";2259;"CAUCAIA INDUSTRIAL SA CAISA"
"00.027.742/0001-00";17728;"CBCC PARTICIPAÇÕES SA"
"33.053.729/0001-85";2275;"CBEI CIA BRASILEIRA ENGENHARIA E INDUSTRIA"
"60.402.153/0001-97";2283;"CBH CIA BRAS HABITACAO"
"14.882.295/0001-81";23620;"CBO HOLDING S.A."
"15.234.115/0001-18";2313;"CBV EQUIPAMENTOS INDS SA"
"33.051.186/0001-67";2305;"CBV INDUSTRIA MECANICA SA"
"15.213.143/0001-59";2321;"CBV NORDESTE IND MECANICA SA"
"69.720.910/0001-45";15121;"CCB BRASIL ARRENDAMENTO MERCANTIL S/A"
"15.109.739/0001-03";2330;"CCC CIA DE CARBONOS COLOIDAIS"
"61.345.096/0001-14";2348;"CCE IND COM"
"02.846.056/0001-97";18821;"CCR S.A."
"07.950.674/0001-04";20184;"CCX CARVÃO DA COLOMBIA S.A. - EM LIQUIDAÇÃO"
"62.463.005/0001-08";2356;"CEAGESP CIA ENTR ARM GERAIS SP"
"07.174.006/0001-24";2496;"CECASA"
"79.655.916/0001-30";15610;"CECRISA REVESTIMENTOS CERAMICOS SA"
"17.158.536/0001-32";14290;"CEESA-CONST.ESTRADAS ESTR. SA"
"02.201.787/0001-85";16675;"CEL PARTICIPAÇÕES S.A. - CELPAR"
"31.001.230/0001-07";24597;"CELEO REDES TRANSMISSÃO DE ENERGIA S.A."
"01.543.032/0001-04";2445;"CELG DISTRIBUIÇÃO S.A. - CELG D"
"01.543.032/0001-04";25577;"CELG DISTRIBUIÇÃO S.A. - CELG D"
"61.135.711/0001-68";2399;"CELITE SA IND E COMERCIO"
"61.086.823/0001-76";2402;"CELM CIA EQUIP LABS MODERNOS"
"03.010.016/0001-73";18210;"CELULAR CRT PARTICIPAÇÕES S.A."
"07.844.087/0001-22";13013;"CEMAG SA"
"93.828.986/0001-73";13854;"CEMEPE INVESTIMENTOS SA"
"06.981.180/0001-16";20303;"CEMIG DISTRIBUIÇÃO S/A"
"06.981.176/0001-58";20320;"CEMIG GERAÇÃO E TRANSMISSÃO S/A"
"02.983.428/0001-27";18716;"CEMIG TELECOMUNICAÇÕES S/A"
"39.346.861/0350-38";26530;"CENCOSUD BRASIL COMERCIAL S.A."
"07.949.970/0001-87";20176;"CENTENNIAL ASSET PART. MINAS-RIO S/A"
"08.835.366/0001-92";21245;"CENTENNIAL ASSET PARTICIPAÇÕES AÇU SA"
"00.001.180/0001-26";2437;"CENTRAIS ELETRICAS BRASILEIRAS SA"
"01.672.223/0001-68";16322;"CENTRAIS ELÉTRICAS CACHOEIRA DOURADA S/A"
"83.878.892/0001-55";2461;"CENTRAIS ELETRICAS DE SANTA CATARINA S.A"
"42.771.949/0001-35";24058;"CENTRO DE IMAGEM DIAGNÓSTICOS S.A."
"09.866.294/0001-03";15318;"CENTRO HOSPITALAR  ALBERT SABIN SA"
"02.191.115/0001-36";16640;"CENTRO SECULO XXI SA"
"02.555.926/0001-79";21857;"CENTROVIAS-SISTEMAS RODOVIARIOS S/A"
"61.708.426/0001-99";2470;"CEPEBE SA"
"52.736.840/0001-10";2488;"CERAMICA CHIARELLI SA - EM RECUPERAÇÃO JUDICIAL"
"55.186.423/0001-30";2500;"CERAMICA PORTO FERREIRA SA"
"13.034.863/0001-21";2518;"CERAMICA SANTA MARCIA SA"
"10.791.218/0001-65";2526;"CERAMICA SANTO ANTONIO SA"
"52.736.790/0001-71";2542;"CERAMICA SAO JOSE GUACU"
"41.534.746/0001-62";26220;"CERES SECURITIZADORA S.A."
"08.322.396/0001-03";26522;"CERRADINHO BIOENERGIA S.A."
"60.933.603/0001-78";2577;"CESP - COMPANHIA ENERGÉTICA DE SÃO PAULO"
"60.933.603/0001-78";2577;"CESP - COMPANHIA ENERGÉTICA DE SÃO PAULO"
"61.550.497/0001-06";2585;"CETENCO ENGENHARIA SA"
"00.956.274/0001-59";15288;"CETERP-CENT TELEF RIB PRETO SA"
"09.358.105/0001-91";21792;"CETIP S.A. - MERCADOS ORGANIZADOS"
"09.358.105/0001-91";21792;"CETIP S.A. - MERCADOS ORGANIZADOS"
"02.189.227/0001-52";16829;"CEVAL PARTICIPAÇOES SA"
"60.586.948/0001-00";2607;"CEVEKOL SA IND COM PROD QUIM"
"82.949.371/0001-89";12637;"CHAPECO CIA INDL DE ALIMENTOS"
"77.404.937/0001-57";2615;"CHAPECO PARANA SA IND E COM"
"43.817.154/0001-83";8419;"CHASE MANHATTAN LEASING SA A M"
"03.391.520/0001-60";18767;"CHEMICAL TRUST S/A"
"07.450.604/0001-89";21113;"CHINA CONSTRUCTION BANK(BRASIL) BANCO MÚLTIPLO S.A."
"02.194.017/0001-52";2674;"CIA AGRO INDL DE GOIAS CAGIGO"
"06.276.703/0001-23";2690;"CIA AGRO PECUARIA SANTA INES"
"07.292.675/0001-09";2704;"CIA ALGIMAR INDUSTRIA QUIMICA ALGINATOS"
"04.564.696/0001-30";2712;"CIA AMAZONENSE SAPONIFICACAO"
"33.615.956/0001-57";2747;"CIA AMERICA FABRIL"
"33.074.691/0001-27";2739;"CIA AMERICA SUL CFI"
"33.490.095/0001-28";2780;"CIA AUXILIAR EMP MIN CAEMI"
"58.128.174/0001-14";2810;"CIA BANDEIRANTES ARMS GERAIS"
"17.167.362/0001-74";2801;"CIA BANDEIRANTES CFI"
"42.584.128/0001-90";2828;"CIA BANGU DESENVOLVIMENTO PARTICIPAÇÕES"
"42.113.662/0001-18";2836;"CIA BOZANO SIMONSEN COM IND"
"33.316.100/0001-80";2852;"CIA BRAS MATERIAIS COBRACO"
"61.079.315/0001-60";2879;"CIA BRAS PLASTICOS MONSANTO"
"61.156.410/0001-10";2887;"CIA BRAS PROJETOS OBRAS CBPO"
"07.203.144/0001-94";2844;"CIA BRASILEIRA DE ESTRUTURAS METALICAS"
"78.588.415/0001-15";2909;"CIA CACIQUE CAFE SOLUVEL"
"82.508.433/0001-17";16861;"CIA CAT. DE ÁGUAS E SANEAMENTO - CASAN"
"33.366.980/0001-08";2917;"CIA CERVEJARIA BRAHMA"
"03.468.832/0001-25";2925;"CIA CERVEJARIA CUIABANA"
"09.934.407/0001-60";2976;"CIA CIMENTO ATOL"
"60.869.302/0001-22";2992;"CIA CIMENTO IPANEMA"
"89.724.017/0001-03";3000;"CIA CIMENTO PORTL GAUCHO"
"33.160.318/0001-99";3018;"CIA CIMENTO PORTL PARAISO"
"15.218.084/0001-01";3026;"CIA CIMENTO SALVADOR"
"61.422.663/0001-99";2941;"CIA COMERCIAL BORBA CAMPO"
"82.636.887/0001-73";2950;"CIA COML SCHRADER"
"33.034.901/0001-53";12491;"CIA CONSTRUTORA PEDERNEIRAS"
"09.123.654/0001-87";19968;"CIA DE AGUA E ESGOTO DA PARAIBA"
"15.139.629/0001-94";14524;"CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA"
"01.938.783/0001-11";18708;"CIA DE PARTICIPAÇÕES ALIANÇA DA BAHIA"
"04.652.792/0001-30";19240;"CIA DE RECUPERAÇÃO SECUNDÁRIA"
"03.631.397/0001-08";12025;"CIA DES ARAGUAIA CODEARA"
"05.770.003/0001-28";3034;"CIA DESENVOLVIMENTO AGRO PECUARIA INDUSTRIAL MIN EST PA"
"84.208.123/0001-02";3174;"CIA DOCAS DE IMBITUBA"
"07.047.251/0001-70";14869;"CIA ENERG CEARA - COELCE"
"17.155.730/0001-64";2453;"CIA ENERG MINAS GERAIS - CEMIG"
"10.835.932/0001-08";14362;"CIA ENERGÉTICA DE PERNAMBUCO - CELPE"
"08.324.196/0001-81";18139;"CIA ENERGÉTICA DO RIO GRANDE DO NORTE"
"02.201.268/0001-17";16900;"CIA ENERGETICA MERIDIONAL"
"33.352.394/0001-04";16373;"CIA ESTADUAL DE ÁGUAS E ESGOTOS - CEDAE"
"08.467.115/0001-00";20648;"CIA ESTADUAL DE DISTRIBUIÇÃO DE ENERGIA ELETRICA"
"92.715.812/0001-31";3204;"CIA ESTADUAL DE GERACAO E TRANSMISSAO DE ENERGIA ELETRICA"
"10.783.777/0001-23";3220;"CIA FABRICA YOLANDA"
"16.718.231/0001-75";3239;"CIA FABRIL MASCARENHAS"
"18.977.124/0001-97";3247;"CIA FERRO BRASILEIRO"
"15.141.799/0001-03";3069;"CIA FERRO LIGAS BAHIA FERBASA"
"23.116.551/0001-10";3255;"CIA FIAÇÃO TECELAGEM PARA MINAS"
"92.659.325/0001-07";3280;"CIA GERAL DE INDUSTRIAS"
"82.639.139/0001-44";3301;"CIA HERING"
"78.876.950/0001-71";14761;"CIA HERING"
"33.541.368/0001-16";3328;"CIA HIDRO ELÉTRICA DO SÃO FRANCISCO"
"33.433.822/0001-15";3433;"CIA INDL AGRIC SANTA CECILIA"
"04.384.319/0001-19";3379;"CIA INDL AMAZONENSE"
"61.074.506/0001-30";3468;"CIA INDL MERC ARTEF FERRO"
"56.969.355/0001-48";3441;"CIA INDL MERC PAOLETTI"
"07.285.448/0001-48";3476;"CIA INDL MICHELETTO"
"92.779.438/0001-38";3514;"CIA INDL RIO GUAHYBA"
"33.174.145/0001-68";3530;"CIA INDL SAO PAULO RIO CISPER"
"07.785.306/0001-40";3360;"CIA INDUSTRIAL AGROPECUARIA CONAPE"
"17.161.316/0001-68";3387;"CIA INDUSTRIAL BELO HORIZONTE"
"07.998.164/0001-07";13811;"CIA INDUSTRIAL BRASILEIRA ALIMENTOS"
"33.041.120/0001-96";3344;"CIA INDUSTRIAL DOX"
"07.197.411/0001-68";3425;"CIA INDUSTRIAL PELES COUROS"
"19.711.282/0001-63";3522;"CIA INDUSTRIAL SANTA MATILDE"
"82.981.929/0001-03";3549;"CIA INDUSTRIAL SCHLOSSER S.A."
"01.222.069/0001-22";15792;"CIA INTER-ATLANTICO PARTICIPS"
"42.584.060/0001-49";3557;"CIA INTERNACIONAL FIDUCIARIA"
"04.904.199/0001-33";3093;"CIA INVEST DO PARA"
"00.189.469/0001-10";14745;"CIA INVESTS LATINOAMERICANA"
"92.753.367/0001-02";3573;"CIA IOCHPE"
"60.434.487/0001-42";3603;"CIA LECO DE PRODS ALIMENTICIOS"
"78.597.697/0001-17";12947;"CIA LONDRIMALHAS HERINGER INDUSTRIA E COMERCIO"
"04.971.941/0001-23";3620;"CIA MADEIREIRA SAO MIGUEL"
"06.272.199/0001-93";3638;"CIA MARANHENSE REFRIGERANTES"
"22.664.890/0001-79";3646;"CIA MATS SULFUROSOS MATSULFUR"
"91.154.690/0001-99";12246;"CIA MINUANO DE ALIMENTOS"
"71.039.119/0001-16";3735;"CIA NAC FRIGORIFICOS CONFRIO"
"33.098.112/0001-86";15555;"CIA NACIONAL DE ALCALIS"
"71.444.582/0001-43";3727;"CIA NACIONAL ESTAMPARIA CIANE"
"33.630.120/0001-21";3760;"CIA NAVEGACAO LLOYD BRASILEIRO"
"61.150.348/0001-50";3778;"CIA NITROQUIMICA BRASILEIRA"
"10.804.300/0001-87";3786;"CIA PARAIBA CIM PORTL CIMEPAR"
"01.596.401/0001-19";16683;"CIA PAULISTA DE ADM DE ATIVOS"
"57.484.495/0001-99";3832;"CIA PAULISTA DE LAMINACAO"
"61.015.582/0001-74";3794;"CIA PAULISTA ENERGIA ELETRICA"
"61.087.912/0001-37";3816;"CIA PAULISTA FERTILIZANTES"
"00.091.652/0001-89";3107;"CIA PESQS RECURSOS MINERAIS"
"02.854.397/0001-04";18899;"CIA PETROLIFERA MARLIM"
"04.172.213/0001-51";19275;"CIA PIRATININGA DE FORÇA E LUZ"
"15.213.374/0001-62";3867;"CIA PNEUS TROPICAL"
"58.143.967/0001-02";2631;"CIA PRODUTORES ARMS GERAIS"
"33.000.035/0001-80";3875;"CIA PROGRESSO INDUSTRIAL BRASIL FABRICA BANGU"
"04.200.649/0001-07";19429;"CIA PROVINCIA DE SECURITIZAÇÃO"
"13.837.489/0001-00";3883;"CIA QUIMICA METACRIL"
"92.691.120/0001-09";3905;"CIA RIOGRANDENSE DE ADUBOS"
"92.802.784/0001-90";16748;"CIA RIOGRANDENSE DE SANEAMENTO"
"92.794.486/0001-03";3913;"CIA RIOGRANDENSE TELECOMUNICAÇÕES"
"33.035.759/0001-69";3930;"CIA SALINAS PERYNAS"
"43.776.517/0001-80";14443;"CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO"
"43.776.517/0001-80";14443;"CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO"
"61.360.434/0001-97";3948;"CIA SANTISTA DE PAPEL"
"35.522.178/0001-87";26107;"CIA SECURITIZADORA DE CRED. FIN. CARTÕES CONSIGNADOS II"
"15.144.017/0001-90";3115;"CIA SEGUROS ALIANCA BAHIA"
"60.405.925/0001-44";3123;"CIA SEGUROS AMER SUL YASUDA"
"15.104.490/0001-43";3131;"CIA SEGUROS BAHIA"
"17.197.385/0001-21";3140;"CIA SEGUROS MINAS BRASIL"
"33.432.139/0001-63";12475;"CIA SEGUROS RIO BRANCO"
"33.158.031/0001-24";3956;"CIA SERVICOS ENGA SERVIENGE"
"12.287.314/0001-04";3999;"CIA SID ALAGOAS COMESA"
"10.806.057/0001-36";4014;"CIA SID NORDESTE"
"20.141.321/0001-13";4049;"CIA SID PAINS"
"04.561.023/0001-26";3972;"CIA SIDERURGICA AMAZONIA"
"61.045.381/0001-10";4006;"CIA SIDERURGICA MOGI CRUZES"
"33.042.730/0001-04";4030;"CIA SIDERURGICA NACIONAL"
"33.042.730/0001-04";4030;"CIA SIDERURGICA NACIONAL"
"33.000.076/0001-76";4073;"CIA T JANER COM IND"
"22.677.520/0001-76";3158;"CIA TECIDOS NORTE DE MINAS - COTEMINAS"
"21.255.567/0001-89";4081;"CIA TECIDOS SANTANENSE"
"60.830.833/0001-01";18422;"CIA TECNICA DE ENGENHARIA ELETRIC A"
"57.486.177/0001-67";4103;"CIA TELEF BORDA DO CAMPO"
"92.195.189/0001-33";4090;"CIA TELEF MELHOR RESIST"
"33.460.809/0001-55";3166;"CIA TELEFONES DO RJ CETEL"
"01.447.243/0001-35";15830;"CIA TERRAS BONSUCESSO"
"05.389.812/0001-94";4120;"CIA TEXTIL CASTANHAL"
"01.540.533/0001-29";4154;"CIA THERMAS RIO QUENTE"
"92.682.038/0001-00";4162;"CIA UNIAO SEGUROS GERAIS"
"92.690.643/0001-22";4197;"CIA VINICOLA RIO GRANDENSE"
"84.684.950/0001-72";4200;"CIA WETZEL INDL"
"33.069.766/0001-81";2860;"CIA. BRAS PETRÓLEO IPIRANGA"
"10.919.934/0001-85";2984;"CIA. DE CIMENTOS DO BRASIL"
"76.484.013/0001-45";18627;"CIA. DE SANEAMENTO DO PARANÁ - SANEPAR"
"33.938.119/0001-69";16616;"CIA. DISTRIB. DE GÁS DO RIO DE JANEIRO"
"76.255.926/0001-90";3336;"CIA. IGUAÇU DE CAFÉ SOLÚVEL"
"36.729.398/0001-49";26018;"CIA. SEC. DE CRÉDITOS FINANCEIROS VERT-PROVI II"
"41.335.131/0001-07";26344;"CIA. SECURITIZADORA DE CRED. FIN. VERT-CAPITAL CONSIG"
"40.885.785/0001-41";26310;"CIA. SECURITIZADORA DE CRED. FIN. VERT-UME"
"30.545.324/0001-76";25216;"CIA. SECURITIZADORA DE CRÉDITOS FINANCEIROS VERT-RECARGAPAY"
"50.930.098/0001-54";3417;"CICA SA"
"91.623.892/0001-32";13234;"CICADE CURTUME SA"
"10.790.616/0001-67";7021;"CICANORTE IND DE CONS ALIM SA"
"01.102.817/0001-33";15571;"CIDADELA TRUST RECEBIVEIS SA"
"01.027.058/0001-91";21733;"CIELO S.A."
"15.115.520/0001-17";4235;"CIMBA SA INDUSTRIA E COMERCIO"
"15.847.775/0001-74";4243;"CIMENTO ARATU SA"
"17.283.599/0001-10";4251;"CIMENTO CAUE SA"
"03.372.786/0001-66";4260;"CIMENTO ITAU DE CORUMBA SA"
"33.815.580/0001-24";13609;"CIMENTO MAUA SA"
"03.478.054/0001-55";4278;"CIMENTO PORTLAND M GROSSO SA"
"49.870.397/0001-61";4286;"CIMENTO SANTA RITA SA"
"00.065.557/0001-00";4294;"CIMENTO TOCANTINS SA"
"33.039.223/0001-11";4308;"CIMENTO TUPI SA"
"33.039.223/0001-11";22829;"CIMENTO TUPI SA"
"17.379.827/0001-50";4324;"CIMETAL SIDERURGIA SA - EM LIQUIDAÇÃO"
"60.869.336/0001-17";11908;"CIMINAS  CIMENTO NAC MINAS SA"
"34.177.279/0001-03";6513;"CIMOB PARTICIPAÇÕES SA"
"00.272.185/0001-93";14818;"CIMS SA"
"07.437.016/0001-05";23965;"CINESYSTEM S.A."
"07.126.899/0001-32";4332;"CIPA CIA INDL PRODS ALIM"
"82.166.711/0001-03";13900;"CIPLA SA"
"15.106.693/0001-79";4340;"CIQUINE CIA INDS QUIMS DO NE"
"84.043.009/0001-70";7056;"CIRCULO S/A"
"31.918.584/0001-02";16721;"CITI CP MERCANTIL SA"
"34.112.128/0001-69";4383;"CITIBANK LEASING S.A. - ARREND.MERCANTIL"
"34.112.128/0001-69";21270;"CITIBANK LEASING S.A. - ARREND.MERCANTIL"
"60.867.843/0001-11";4391;"CITROBRASIL SA"
"68.400.225/0001-79";26549;"CLARANET TECHNOLOGY S.A."
"24.956.666/0001-86";18490;"CLARION S/A AGROINDUSTRIAL"
