"DT_REFER";"CD_CVM";"DENOM_CIA";"COLUNA_DF";"VL_CONTA"
2010;18376;"CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA";"Patrimônio Líquido";4563835
2010;19330;"TPI - TRIUNFO PARTICIP. E INVEST. S.A.";"Patrimônio Líquido";1370438
2010;20010;"EQUATORIAL ENERGIA S.A.";"Patrimônio Líquido";953755
2010;19879;"LIGHT S.A.";"Patrimônio Líquido";3330144
2010;19216;"CP CIMENTO E PARTICIPAÇÕES S/A";"Patrimônio Líquido";287292
2010;21415;"BRZ INVESTIMENTOS S/A";"Patrimônio Líquido";45058
2010;19860;"RB CAPITAL SECURITIZADORA S.A.";"Patrimônio Líquido";33904
2010;18635;"PRIVATINVEST PARTICIPAÇÕES SA";"Patrimônio Líquido";475
2010;19437;"ANDRADE GUTIERREZ CONCESSOES S.A.";"Patrimônio Líquido";1767609
2010;18651;"ARAUCÁRIA PARTICIPAÇÕES SA";"Patrimônio Líquido";553849
2010;18775;"INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR";"Patrimônio Líquido";1382974
2010;18724;"BRADESPAR S.A.";"Patrimônio Líquido";6778074
2010;20788;"MARFRIG GLOBAL FOODS S.A.";"Patrimônio Líquido";3865616
2010;18953;"CPFL GERACAO DE ENERGIA S.A.";"Patrimônio Líquido";1908873
2010;19763;"EDP - ENERGIAS DO BRASIL S.A.";"Patrimônio Líquido";4554478
2010;19089;"COARI PARTICIPAÇÕES SA";"Patrimônio Líquido";16559798
2010;19062;"ANDRADE GUTIERREZ PARTICIPACOES S.A.";"Patrimônio Líquido";1405197
2010;19100;"ATMA PARTICIPAÇÕES S.A.";"Patrimônio Líquido";418971
2010;18970;"AES TIETE ENERGIA SA";"Patrimônio Líquido";4171797
2010;19453;"ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.";"Patrimônio Líquido";1781203
2010;18961;"ANHANGUERA EDUCACIONAL PARTICIPAÇÕES S.A.";"Patrimônio Líquido";2004760
2010;21237;"ENEVA S.A";"Patrimônio Líquido";1658186
2010;21555;"UNIDAS S.A.";"Patrimônio Líquido";288866
2010;19305;"BIOMM S.A.";"Patrimônio Líquido";-4061
2010;20613;"METALFRIO SOLUTIONS S.A.";"Patrimônio Líquido";301591
2010;23221;"SER EDUCACIONAL S.A.";"Patrimônio Líquido";115823
2010;19402;"GLOBAL BRASIL SA";"Patrimônio Líquido";-171393
2010;21717;"TARPON INVESTIMENTOS S.A.";"Patrimônio Líquido";17990
2010;80004;"TELEFÓNICA, S.A.";"Patrimônio Líquido";54439000
2010;80047;"WILSON SONS LTD.";"Patrimônio Líquido";774854
2010;20354;"TERRA SANTA AGRO S.A.";"Patrimônio Líquido";686473
2010;22357;"ALIANSCE SONAE SHOPPING CENTERS S.A.";"Patrimônio Líquido";1277387
2010;21300;"ALIANSCE SHOPPING CENTERS S.A.";"Patrimônio Líquido";1165900
2010;19569;"GOL LINHAS AEREAS INTELIGENTES S.A.";"Patrimônio Líquido";2929169
2010;19917;"TEMPO PARTICIPAÇOES S/A";"Patrimônio Líquido";295160
2010;19909;"BR MALLS PARTICIPACOES S.A.";"Patrimônio Líquido";5482171
2010;19925;"BR PROPERTIES S.A.";"Patrimônio Líquido";2709470
2010;20320;"CEMIG GERACAO E TRANSMISSAO S.A.";"Patrimônio Líquido";5050645
2010;20338;"M.DIAS BRANCO S.A. IND COM DE ALIMENTOS";"Patrimônio Líquido";1760517
2010;19933;"ITAUSEG PARTICIPAÇÕES SA";"Patrimônio Líquido";10713829
2010;5991;"VICUNHA TEXTIL SA";"Patrimônio Líquido";830744
2010;21113;"BANCO INDUSTRIAL E COMERCIAL S/A";"Patrimônio Líquido";1915959
2010;20087;"EMBRAER S.A.";"Patrimônio Líquido";5046136
2010;20265;"BROOKFIELD INCORPORAÇÕES S.A.";"Patrimônio Líquido";2701894
2010;20966;"SPRINGS GLOBAL PARTICIPACOES S.A.";"Patrimônio Líquido";1629331
2010;20214;"AMPLA INVESTIMENTOS E SERVIÇOS S/A";"Patrimônio Líquido";191003
2010;20982;"MULTIPLAN - EMPREEND IMOBILIARIOS S.A.";"Patrimônio Líquido";2943123
2010;20630;"CR2 EMPREENDIMENTOS IMOBILIARIOS S.A.";"Patrimônio Líquido";398771
2010;80020;"GP INVESTMENTS, LTD.";"Patrimônio Líquido";1281518
2010;20257;"TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.";"Patrimônio Líquido";2508354
2010;20419;"ONE PROPERTIES S.A.";"Patrimônio Líquido";897181
2010;20168;"ÓLEO E GÁS PARTICIPAÇÕES S.A.";"Patrimônio Líquido";9215145
2010;20435;"TECNISA S.A.";"Patrimônio Líquido";1037601
